# Logfile created on 2026-03-05 03:17:18 +0100 by logger.rb/v1.5.3
2026-03-05 03:17:18 +0100: Memory Usage (436104K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA.gds
2026-03-05 03:17:18 +0100: Memory Usage (436104K) : Ruby Version for klayout: 3.2.3
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : Loading database to memory is complete.
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_HPA_main.lyrdb
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : Evaluate switches.
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : tables selected: main
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : deep mode is enabled.
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : FEOL enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : BEOL enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : OFFGRID enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : PIN enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : FORBIDDEN enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : RECOMMENDED enabled: true
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : PreCheck DRC enabled: false
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : CONNECTIVITY_RULES enabled: true.
2026-03-05 03:17:18 +0100: Memory Usage (437384K) : Read in polygons from layers.
2026-03-05 03:17:18 +0100: Memory Usage (438536K) : activ_drw has 3892 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438664K) : activ_pin has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438664K) : activ_mask has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438792K) : activ_filler has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438792K) : activ_nofill has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438920K) : activ_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438920K) : activ_iopc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (438920K) : activ_noqrc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439048K) : biwind_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439048K) : biwind_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439176K) : pemwind_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439176K) : gatpoly_drw has 2385 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439304K) : gatpoly_pin has 253 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439432K) : gatpoly_filler has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439432K) : gatpoly_nofill has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439560K) : gatpoly_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439560K) : gatpoly_iopc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (439560K) : gatpoly_noqrc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440328K) : cont_drw has 16765 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440328K) : cont_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440328K) : nsd_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440328K) : nsd_block has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440328K) : metal1_drw has 6320 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440584K) : metal1_pin has 1076 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440584K) : metal1_mask has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440584K) : metal1_filler has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440584K) : metal1_nofill has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440712K) : metal1_slit has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440840K) : metal1_text has 2 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440968K) : metal1_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440968K) : metal1_noqrc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (440968K) : metal1_res has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441096K) : metal1_iprobe has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441096K) : metal1_diffprb has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441224K) : passiv_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441224K) : passiv_pin has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441352K) : passiv_sbump has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441352K) : passiv_pillar has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441352K) : passiv_pdl has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441480K) : metal2_drw has 1104 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441608K) : metal2_pin has 3 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441608K) : metal2_mask has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441608K) : metal2_filler has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441736K) : metal2_nofill has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441736K) : metal2_slit has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441864K) : metal2_text has 7 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441992K) : metal2_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (441992K) : metal2_noqrc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442120K) : metal2_res has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442120K) : metal2_iprobe has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442120K) : metal2_diffprb has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442248K) : baspoly_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442248K) : baspoly_pin has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442376K) : psd_drw has 992 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442376K) : nldb_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442504K) : digibnd_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442632K) : via1_drw has 5546 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442760K) : backmetal1_drw has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442760K) : backmetal1_pin has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442760K) : backmetal1_mask has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442888K) : backmetal1_filler has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442888K) : backmetal1_nofill has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (442888K) : backmetal1_slit has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (443016K) : backmetal1_text has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (443016K) : backmetal1_opc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (443144K) : backmetal1_noqrc has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (443144K) : backmetal1_res has 0 polygons
2026-03-05 03:17:18 +0100: Memory Usage (443272K) : backmetal1_iprobe has 0 polygons
