# Logfile created on 2026-03-02 02:09:51 +0100 by logger.rb/v1.5.3
2026-03-02 02:09:51 +0100: Memory Usage (436948K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/TOP.gds
2026-03-02 02:09:51 +0100: Memory Usage (436948K) : Ruby Version for klayout: 3.2.3
2026-03-02 02:09:51 +0100: Memory Usage (438100K) : Loading database to memory is complete.
2026-03-02 02:09:51 +0100: Memory Usage (438100K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_M1M2_wRoutings/TOP_M1M2_wRoutings_main.lyrdb
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : Evaluate switches.
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : tables selected: main
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : deep mode is enabled.
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : FEOL enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : BEOL enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : OFFGRID enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : PIN enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : FORBIDDEN enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : RECOMMENDED enabled: true
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : PreCheck DRC enabled: false
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : CONNECTIVITY_RULES enabled: true.
2026-03-02 02:09:51 +0100: Memory Usage (438228K) : Read in polygons from layers.
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_drw has 90 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_iopc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : activ_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : biwind_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : biwind_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : pemwind_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_drw has 34 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_pin has 30 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_iopc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : gatpoly_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : cont_drw has 190 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438868K) : cont_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438996K) : nsd_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (438996K) : nsd_block has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_drw has 111 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_pin has 60 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439252K) : metal1_slit has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439508K) : metal1_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439508K) : metal1_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439636K) : metal1_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439636K) : metal1_res has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439636K) : metal1_iprobe has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439764K) : metal1_diffprb has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439764K) : passiv_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439892K) : passiv_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (439892K) : passiv_sbump has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440020K) : passiv_pillar has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440020K) : passiv_pdl has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440020K) : metal2_drw has 35 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440148K) : metal2_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440148K) : metal2_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440276K) : metal2_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440276K) : metal2_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440404K) : metal2_slit has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440404K) : metal2_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440532K) : metal2_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440532K) : metal2_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440660K) : metal2_res has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440660K) : metal2_iprobe has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440788K) : metal2_diffprb has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440788K) : baspoly_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440916K) : baspoly_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440916K) : psd_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (440916K) : nldb_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441044K) : digibnd_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441044K) : via1_drw has 56 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441172K) : backmetal1_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441172K) : backmetal1_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441300K) : backmetal1_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441300K) : backmetal1_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441300K) : backmetal1_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441428K) : backmetal1_slit has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441428K) : backmetal1_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441556K) : backmetal1_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441556K) : backmetal1_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441684K) : backmetal1_res has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441684K) : backmetal1_iprobe has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441684K) : backmetal1_diffprb has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441812K) : backpassiv_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441812K) : res_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (441940K) : sram_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442068K) : trans_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442068K) : ind_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442196K) : ind_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442196K) : ind_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442196K) : salblock_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442324K) : via2_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442452K) : metal3_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442452K) : metal3_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442580K) : metal3_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442580K) : metal3_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442708K) : metal3_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442708K) : metal3_slit has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442836K) : metal3_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442836K) : metal3_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442964K) : metal3_noqrc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442964K) : metal3_res has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (442964K) : metal3_iprobe has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443092K) : metal3_diffprb has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443092K) : nwell_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443220K) : nwell_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443220K) : nbulay_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443348K) : nbulay_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443348K) : nbulay_block has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443476K) : emwind_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443476K) : emwind_opc has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443604K) : deepco_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443732K) : deepco_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443732K) : mim_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443860K) : edgeseal_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443860K) : edgeseal_bound has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443860K) : substrate_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443988K) : substrate_text has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (443988K) : dfpad_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444116K) : dfpad_pillar has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444116K) : dfpad_sbump has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444244K) : thickgateox_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444244K) : pldb_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444244K) : pwell_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444372K) : pwell_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444372K) : pwell_block has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444500K) : ic_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444628K) : via3_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444628K) : metal4_drw has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444756K) : metal4_pin has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444756K) : metal4_mask has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444756K) : metal4_filler has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444884K) : metal4_nofill has 0 polygons
2026-03-02 02:09:51 +0100: Memory Usage (444884K) : metal4_slit has 0 polygons
