# Logfile created on 2026-03-02 23:11:30 +0100 by logger.rb/v1.5.3
2026-03-02 23:11:30 +0100: Memory Usage (436664K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/OTA_Telescopic_FB.gds
2026-03-02 23:11:30 +0100: Memory Usage (436664K) : Ruby Version for klayout: 3.2.3
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : Loading database to memory is complete.
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_OTA_Telescopic_FB/OTA_Telescopic_FB_OTA_Telescopic_FB_main.lyrdb
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : Evaluate switches.
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : tables selected: main
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : deep mode is enabled.
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : FEOL enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : BEOL enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : OFFGRID enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : PIN enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : FORBIDDEN enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : RECOMMENDED enabled: true
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : PreCheck DRC enabled: false
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : CONNECTIVITY_RULES enabled: true.
2026-03-02 23:11:30 +0100: Memory Usage (437944K) : Read in polygons from layers.
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_drw has 3122 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_pin has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_mask has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_iopc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : activ_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : biwind_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : biwind_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : pemwind_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_drw has 1715 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_pin has 240 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_iopc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (438840K) : gatpoly_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439096K) : cont_drw has 13260 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439096K) : cont_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439096K) : nsd_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439224K) : nsd_block has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439224K) : metal1_drw has 5183 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439224K) : metal1_pin has 950 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439352K) : metal1_mask has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439352K) : metal1_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439480K) : metal1_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439480K) : metal1_slit has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439736K) : metal1_text has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439736K) : metal1_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439736K) : metal1_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439864K) : metal1_res has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439864K) : metal1_iprobe has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439992K) : metal1_diffprb has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (439992K) : passiv_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440120K) : passiv_pin has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440120K) : passiv_sbump has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440248K) : passiv_pillar has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440248K) : passiv_pdl has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440248K) : metal2_drw has 1009 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440376K) : metal2_pin has 3 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440376K) : metal2_mask has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440504K) : metal2_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440504K) : metal2_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440632K) : metal2_slit has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440760K) : metal2_text has 4 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440888K) : metal2_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (440888K) : metal2_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441016K) : metal2_res has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441016K) : metal2_iprobe has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441144K) : metal2_diffprb has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441144K) : baspoly_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441272K) : baspoly_pin has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441272K) : psd_drw has 862 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441400K) : nldb_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441400K) : digibnd_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441528K) : via1_drw has 5103 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441656K) : backmetal1_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441784K) : backmetal1_pin has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441784K) : backmetal1_mask has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441912K) : backmetal1_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441912K) : backmetal1_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (441912K) : backmetal1_slit has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442040K) : backmetal1_text has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442040K) : backmetal1_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442168K) : backmetal1_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442168K) : backmetal1_res has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442168K) : backmetal1_iprobe has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442296K) : backmetal1_diffprb has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442296K) : backpassiv_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442424K) : res_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442424K) : sram_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442552K) : trans_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442680K) : ind_drw has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442680K) : ind_pin has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442680K) : ind_text has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442808K) : salblock_drw has 6 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442936K) : via2_drw has 1909 polygons
2026-03-02 23:11:30 +0100: Memory Usage (442936K) : metal3_drw has 126 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443064K) : metal3_pin has 2 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443192K) : metal3_mask has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443192K) : metal3_filler has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443192K) : metal3_nofill has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443320K) : metal3_slit has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443320K) : metal3_text has 2 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443448K) : metal3_opc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443448K) : metal3_noqrc has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443576K) : metal3_res has 0 polygons
2026-03-02 23:11:30 +0100: Memory Usage (443576K) : metal3_iprobe has 0 polygons
