# Logfile created on 2026-03-05 03:15:44 +0100 by logger.rb/v1.5.3
2026-03-05 03:15:44 +0100: Memory Usage (435304K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-05 03:15:44 +0100: Memory Usage (435304K) : Ruby Version for klayout: 3.2.3
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : Loading database to memory is complete.
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_main.lyrdb
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : Evaluate switches.
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : tables selected: main
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : deep mode is enabled.
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : FEOL enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : BEOL enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : OFFGRID enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : PIN enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : FORBIDDEN enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : RECOMMENDED enabled: true
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : PreCheck DRC enabled: false
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : CONNECTIVITY_RULES enabled: true.
2026-03-05 03:15:44 +0100: Memory Usage (436456K) : Read in polygons from layers.
2026-03-05 03:15:44 +0100: Memory Usage (437736K) : activ_drw has 3892 polygons
2026-03-05 03:15:44 +0100: Memory Usage (437864K) : activ_pin has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (437992K) : activ_mask has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (437992K) : activ_filler has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (437992K) : activ_nofill has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438120K) : activ_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438120K) : activ_iopc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438248K) : activ_noqrc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438248K) : biwind_drw has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438376K) : biwind_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438376K) : pemwind_drw has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438376K) : gatpoly_drw has 2385 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438632K) : gatpoly_pin has 253 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438632K) : gatpoly_filler has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438632K) : gatpoly_nofill has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438760K) : gatpoly_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438760K) : gatpoly_iopc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (438888K) : gatpoly_noqrc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439528K) : cont_drw has 16765 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439528K) : cont_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439528K) : nsd_drw has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439528K) : nsd_block has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439528K) : metal1_drw has 6320 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439784K) : metal1_pin has 1076 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439784K) : metal1_mask has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439784K) : metal1_filler has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439784K) : metal1_nofill has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (439912K) : metal1_slit has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440168K) : metal1_text has 2 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440296K) : metal1_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440296K) : metal1_noqrc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440424K) : metal1_res has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440424K) : metal1_iprobe has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440424K) : metal1_diffprb has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440552K) : passiv_drw has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440552K) : passiv_pin has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440680K) : passiv_sbump has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440680K) : passiv_pillar has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440808K) : passiv_pdl has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440808K) : metal2_drw has 1102 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440936K) : metal2_pin has 3 polygons
2026-03-05 03:15:44 +0100: Memory Usage (440936K) : metal2_mask has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441064K) : metal2_filler has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441064K) : metal2_nofill has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441064K) : metal2_slit has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441192K) : metal2_text has 7 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441192K) : metal2_opc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441320K) : metal2_noqrc has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441448K) : metal2_res has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441448K) : metal2_iprobe has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441576K) : metal2_diffprb has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441576K) : baspoly_drw has 0 polygons
2026-03-05 03:15:44 +0100: Memory Usage (441576K) : baspoly_pin has 0 polygons
