# Logfile created on 2026-03-02 04:01:24 +0100 by logger.rb/v1.5.3
2026-03-02 04:01:24 +0100: Memory Usage (437024K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/OTA_Telescopic_core.gds
2026-03-02 04:01:24 +0100: Memory Usage (437024K) : Ruby Version for klayout: 3.2.3
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : Loading database to memory is complete.
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_OTA_Telescopic_core/OTA_Telescopic_core_OTA_Telescopic_core_main.lyrdb
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : Evaluate switches.
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : tables selected: main
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : deep mode is enabled.
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : FEOL enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : BEOL enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : OFFGRID enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : PIN enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : FORBIDDEN enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : RECOMMENDED enabled: true
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : PreCheck DRC enabled: false
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : CONNECTIVITY_RULES enabled: true.
2026-03-02 04:01:24 +0100: Memory Usage (438176K) : Read in polygons from layers.
2026-03-02 04:01:24 +0100: Memory Usage (439200K) : activ_drw has 3122 polygons
2026-03-02 04:01:24 +0100: Memory Usage (439200K) : activ_pin has 0 polygons
2026-03-02 04:01:24 +0100: Memory Usage (439200K) : activ_mask has 0 polygons
2026-03-02 04:01:24 +0100: Memory Usage (439200K) : activ_filler has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : activ_nofill has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : activ_opc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : activ_iopc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : activ_noqrc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : biwind_drw has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : biwind_opc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : pemwind_drw has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_drw has 1699 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_pin has 240 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_filler has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_nofill has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_opc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439200K) : gatpoly_iopc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439328K) : gatpoly_noqrc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439456K) : cont_drw has 13252 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439584K) : cont_opc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439584K) : nsd_drw has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439584K) : nsd_block has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439584K) : metal1_drw has 5169 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439712K) : metal1_pin has 942 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439840K) : metal1_mask has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439840K) : metal1_filler has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439968K) : metal1_nofill has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (439968K) : metal1_slit has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440224K) : metal1_text has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440352K) : metal1_opc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440352K) : metal1_noqrc has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440480K) : metal1_res has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440480K) : metal1_iprobe has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440480K) : metal1_diffprb has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440608K) : passiv_drw has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440608K) : passiv_pin has 0 polygons
2026-03-02 04:01:25 +0100: Memory Usage (440736K) : passiv_sbump has 0 polygons
