# Logfile created on 2026-03-07 03:48:53 +0100 by logger.rb/v1.5.3
2026-03-07 03:48:53 +0100: Memory Usage (436964K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/HPA.gds
2026-03-07 03:48:53 +0100: Memory Usage (436964K) : Ruby Version for klayout: 3.2.3
2026-03-07 03:48:53 +0100: Memory Usage (438244K) : Loading database to memory is complete.
2026-03-07 03:48:53 +0100: Memory Usage (438244K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_HPA/HPA_HPA_main.lyrdb
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : Evaluate switches.
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : tables selected: main
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : deep mode is enabled.
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : FEOL enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : BEOL enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : OFFGRID enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : PIN enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : FORBIDDEN enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : RECOMMENDED enabled: true
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : PreCheck DRC enabled: false
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : CONNECTIVITY_RULES enabled: true.
2026-03-07 03:48:53 +0100: Memory Usage (438372K) : Read in polygons from layers.
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_drw has 3892 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_mask has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_filler has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_nofill has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_iopc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : activ_noqrc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : biwind_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : biwind_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : pemwind_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : gatpoly_drw has 2385 polygons
2026-03-07 03:48:53 +0100: Memory Usage (439268K) : gatpoly_pin has 253 polygons
